title,url,date,tag,K-E,description,company,publisher,platform
Hades II,https://store.steampowered.com/app/1145350/Hades_II/?snr=1_7_7_7000_150_1,2024년 5월 7일,,,,,,
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1,2017년 12월 21일,,,,,,
DJMAX RESPECT V,https://store.steampowered.com/app/960170/DJMAX_RESPECT_V/?snr=1_7_7_7000_150_1,2020년 3월 12일,,,,,,
V Rising,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_7000_150_1,2024년 5월 8일,,,,,,
Apex 레전드™,https://store.steampowered.com/app/1172470/Apex/?snr=1_7_7_7000_150_1,2020년 11월 5일,,,,,,
,,,"액션,RPG,로그라이크,액션 로그라이크,신화",Hades II,수상 경력에 빛나는 로그라이크 던전 크롤러의 매혹적인 속편에서 어둠의 마법을 펼치며 시간의 티탄에게 맞서 지하세계 너머에서 전투를 벌이세요.,Supergiant Games,Supergiant Games,steam
,,,"생존,슈팅,배틀 로얄,멀티플레이어,PvP",PUBG: BATTLEGROUNDS,PUBG: BATTLEGROUNDS를 무료로 플레이 하세요. 다양한 전장에서 전략적 위치를 선점하고 무기와 장비를 확보해 최후의 1인이 되기 위한 생존의 사투를 펼칩니다. 친구들과 함께 팀을 만들어 배틀로얄 건플레이 장르의 선구자인 PUBG: BATTLEGROUNDS만이 선사하는 긴장감 넘치는 경험을 위해 도전하세요.,"KRAFTON, Inc.","KRAFTON, Inc.",steam
,,,"리듬,캐주얼,음악,액션,스포츠,애니메이션",DJMAX RESPECT V,최고의 인기 리듬게임 “DJMAX” 드디어 STEAM 출시!! DJMAX 시리즈의 최신작 'DJMAX RESPECT'가 더 발전된 모습으로 스팀에 첫 발을 내딛습니다.,NEOWIZ,NEOWIZ,steam
,,,"생존,오픈 월드,기지 건설,뱀파이어,크래프팅",V Rising,뱀파이어로서 깨어나 인근 거주지에서 피 사냥을 통해 힘을 회복합니다. 치명적인 뜨거운 햇빛을 피하고 자신만의 성채를 건설하고 끊임없이 변화하는 신비로운 오픈 세계에서 발전합시다. 온라인에서 동맹군을 찾아 생존자의 땅을 정복하세요.,Stunlock Studios,Stunlock Studios,steam
,,,"무료 플레이,배틀 로얄,멀티플레이어,1인칭 슈팅","Apex Legends™,Apex 레전드™","Apex 레전드는 Respawn Entertainment에서 제작한 다양한 수상 경력을 자랑하는 무료 플레이 히어로 슈팅 게임입니다. 게임에 계속해서 추가되는 레전드 캐릭터들의 강력한 능력을 마스터하고 깊이 있는 전술적 분대 플레이, 새롭게 진화하는 게임플레이를 지닌 히어로 슈팅과 배틀 로얄의 혁신을 경험하세요.",Respawn,Electronic Arts,steam
