title,url,date,tag,K-E,description,company,publisher,platform
Homeworld 3,https://store.steampowered.com/app/1840080/Homeworld_3/?snr=1_7_7_7000_150_1,2024년 05월 14일,"우주,실시간 전략,전략,풍부한 스토리,전술",Homeworld 3,"전략적이고, 아름답고, 아주 독특하며, 여러 GOTY를 수상한 SF RTS가 Homeworld 3로 돌아옵니다. 많은 상을 받은 은하계 규모의 스토리가 펼쳐지는 동안, 완전한 3D로 구현된 눈부신 우주에서 함대를 통솔해 적 함대를 격파하십시오.",Blackbird Interactive,Gearbox Publishing,steam
Grand Theft Auto V,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_7000_150_1,2015년 04월 14일,"오픈 월드,액션,멀티플레이어,범죄,3인칭",Grand Theft Auto V,"PC용 Grand Theft Auto V는 각종 수상에 빛나는 로스 산토스와 블레인 카운티의 거대한 세상을 최대 4K 이상의 해상도로 둘러볼 수 있는 기회를 플레이어에게 제공하며, 초당 60프레임으로 게임을 실행할 수도 있습니다.",Rockstar North,Rockstar Games,steam
HELLDIVERS™ 2,https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_7_7_7000_150_1,2024년 02월 08일,"온라인 협동,3인칭 슈팅,멀티플레이어,액션",HELLDIVERS™ 2,"은하계 최고의 공격 부대. 빠르고, 정신없고, 격렬한 3인칭 슈팅 게임에서 헬다이버가 되어 적대적인 은하계 전역을 누비며 자유를 위해 싸우세요.",Arrowhead Game Studios,PlayStation PC LLC,steam
Crusader Kings III,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_7000_150_1,2020년 09월 02일,"전략,시뮬레이션,중세,대전략,RPG,역사",Crusader Kings III,"사랑하고, 싸우고, 계략을 세우고, 위대함을 쟁취하세요. Crusader Kings III의 마구 뻗어 나가는 대전략 게임에서 귀족 가문의 유산을 결정하세요. 풍부하고 개성 넘치는 중세 시대 시뮬레이션 속 왕조 혈통을 이어나가는 이곳에서, 죽음은 단지 시작일 뿐입니다.",Paradox Development Studio,Paradox Interactive,steam
DARK SOULS™ III,https://store.steampowered.com/app/374320/DARK_SOULS_III/?snr=1_7_7_7000_150_1,2016년 04월 12일,"소울라이크,다크 판타지,고난이도,RPG,3인칭",DARK SOULS™ III,"장르를 새로 개척했다는 평가를 들으며 많은 좋은 평가들을 얻고 있는 다크 소울 시리즈는 계속해서 한계를 넘어서, 더욱 야심찬 단계에 도전하고자 하고 있습니다. 준비를 하고 어둠을 밝히십시오!","FromSoftware, Inc.","FromSoftware, Inc.",steam
Baldur's Gate 3,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_7000_150_1,2023년 08월 04일,"RPG,선택의 중요성,캐릭터 커스터마이즈,CRPG",Baldur's Gate 3,"Baldur’s Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons & Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.",Larian Studios,Larian Studios,steam
Stellaris,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_7000_150_1,2016년 05월 10일,"우주,대전략,전략,공상과학,4X,탐험",Stellaris,"항성간 여행을 통해 우주를 탐험하며 수많은 종족들도 만나보세요. 과학선을 보내 우주를 조사하고 탐험하면서 은하 제국을 건설하고, 건축선을 보내 새로 발견한 행성에 기지를 건설하세요. 소속 사회를 위한 탐험에 나서 매장된 보물과 은하계의 경이를 발견하고, 탐험가의 한계치와 진화 범위를 설정하세요. 동맹이 체결되고, 전쟁이 선포됩니다.",Paradox Development Studio,Paradox Interactive,steam
eFootball™ 2024,https://store.steampowered.com/app/1665460/eFootball_2024/?snr=1_7_7_7000_150_1,2021년 09월 30일,"축구,무료 플레이,스포츠,멀티플레이어,PvP",eFootball™ 2024,언제라도 최신 데이터로 즐길 수 있는 액션 축구 게임의 대표작! 뜨거운 열기가 소용돌이치는 ‘리얼 사커’를 eFootball™ 2024에서 즐겨 보십시오!,KONAMI,KONAMI,steam
Dying Light,https://store.steampowered.com/app/239140/Dying_Light/?snr=1_7_7_7000_150_1,2016년 04월 22일,"좀비,생존 공포,공포,온라인 협동,오픈 월드",Dying Light,"종말 이후 굶주린 좀비가 넘쳐나는 오픈 월드를 배경으로 펼쳐지는 1인칭 액션 생존 게임을 즐겨보세요. 여러분은 수수께끼의 바이러스 전염에 의해 몰락한 도시를 탐험하며 물자를 찾고, 무기를 제작하여 감염된 생명체 무리들을 상대해야 합니다.",Techland,Techland,steam
크로노 아크,https://store.steampowered.com/app/1188930/_/?snr=1_7_7_7000_150_1,2024년 05월 03일,"로그라이크 덱빌딩,RPG,애니메이션,전략","Chrono Ark,크로노 아크","크로노 아크는 파티 기반 RPG, 덱 빌딩, 로그라이크 요소를 혼합하여 만들어진 싱글 플레이 게임입니다.특색 있는 능력을 가진 동료를 영입하고 다양한 스킬을 배워 최고의 파티를 만들고 뒤틀린 세계를 구하세요!",Al Fine,Al Fine,steam
